,date,tweet,user_id,username
0,31-12-2019 23:55,OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days:  http://ow.ly/qgcF30q5QEg  It's FREE! No Credit Card Required! $TLRY $CGC $PYPL $WMT,33286321,OptionAlarm
1,31-12-2019 23:40,"Record private jet flights into #Davos as #KillersOfKoalas arrive for climate talk

Experts predict up to 1,500 individual private flights in and out of airfields serving Swiss ski resort for World Economic Forum
 https://www.theguardian.com/global-development/2019/jan/22/record-private-jet-flights-davos-leaders-climate-talk …
$tsla $aapl $wmt $brka",2975960806,dukesealman
2,31-12-2019 23:36,Short sale volume(not short interest) for $TGT on 2019-12-30 is 47%.  http://shortvolumes.com/?t=TGT  $WMT 40% $M 57% $KSS 51% $DLTR 25%,9.25001E+17,shortvolumes
3,31-12-2019 23:31,Scan results - Fell Below 50 DMA today: $CLB $OMER $WAFD $WMT $NOC $NET $NTCT $ABM $HTGC $CTB $JHG $INCY $LHX $BMCH $DNOW $EDU $SSD $HABT $EFC $HALO ... https://swingtradebot.com/events/2-fell-below-50-dma/equities?selected_date=2019-12-31 …,2422703600,SwingTradeBot
4,31-12-2019 23:27,"Bummer, I keep my WMT receipts and they will take anything back. Irons, vacuum cleaner-within a year.",1146451310,CFTpersonal
5,31-12-2019 23:25,"With past performance like this, how can you not sign up for a Free 7-day trial to  http://ow.ly/Aamh30q5QDJ ? Winning Option Swing Trades Since 2006  $AMZN $AAPL $WMT $NFLX",33286321,OptionAlarm
6,31-12-2019 23:22,"Finished my EOY review.

Best setups:
1. Short squeezes $TSLA $BYND $VICI $RH $AMD 
2. #Relativestrength w/ trend + breakouts... BTFD  (i.e. the Squeeze) $MSFT $WMT $TGT

Worst Setups:
1. Hedges
2. Buying dips that cracked

What are yours?

#optionstrading pic.twitter.com/3CKtvLDZJb",6.97946E+17,traderDanielle
7,31-12-2019 23:15,"Low key all be formalities 

At 00:00 - 01/01/20 somebody go take “Wmt” p333 😂😂😂😂  https://twitter.com/M_acBrown/status/1212134392417705985 …",567154374,TheOnlyTor_
8,31-12-2019 23:15,So far he has $MSFT $XLP $MCD $WMT $XLV $AMD (best one) $HD $PFE (worst one) $CSCO $XLU $NFLX $XLK $ETSY and $PINS,6.97946E+17,traderDanielle
9,31-12-2019 23:06,"WalMart Stores Inc (WMT) price at close, 2019-12-31, is 118.63.",2287620037,VelmaCrayton
10,31-12-2019 23:04,"WalMart Stores Inc (WMT) price at close, 2019-12-31, is 118.63.",1035970350,emilybalp
11,31-12-2019 23:01,"WalMart Stores Inc (WMT) price at close, 2019-12-31, is 118.63.",2375610883,WillENilly
12,31-12-2019 22:56,"$AMZN $WMT #Reliance’s #ecommerce venture JioMart makes a silent debut, calls for pre-registrations https://www.businessinsider.in/business/ecommerce/news/reliance-e-commerce-venture-jiomart-makes-a-silent-debut-calls-for-pre-registrations/articleshow/73046911.cms?src=hp_wh …",881604271,naashonomics
13,31-12-2019 22:50,"Btw, Estimated #Earnings Per Share for $WMT is $1.33 it's 1.11% of the current price  https://unicornbay.com/t/WMT.US?utm_medium=tweet&utm_campaign=eps&utm_source=twitter …",2997788563,1MinuteStock
14,31-12-2019 22:49, http://BlackboxStocks.US  The World #1 Algorithm Based Alert Service for Traders! The REAL DEAL!!! $SPX $SPY $GS $NVDA $AMZN $AMD $FB $C $GM $F $XLF $QQQ $DIA $GLD $GDX $JNUG $SNAP $PYPL $SHAK $BAC $C $GS $WMT $WMT $HD $NFLX $TWTR $MCD $XRT $AMZN $BABA $BYND $ROKU $K $MSFT $GLD $T pic.twitter.com/46KrvQj8aG,1.19753E+18,FocusOnProfits
15,31-12-2019 22:42,$wmt  https://www.andnowuknow.com/buyside-news/walmart-unleashes-supercenters-bid-grocery-dominance-Doug-McMillon/maggie-mead/66267 …. Gonna need a lot of high #roi solutions 🤨,139489624,Agterzis
16,31-12-2019 22:17,"I was just listening to an old episode of The Daily podcast about @Walmart's decision to stop selling handguns and the possible ramifications after the terrible shooting in El Paso. So I was curious: WMT stock still rose over the last three months of the year, by 4.2%.  pic.twitter.com/z5Is4ixxT6",483273973,jschwabish
